Quiz titles in app order (deterministic shuffle with seed 42):
============================================================

  1. TOP 10 des transferts les plus coûteux entrants entre 2015-2020 (Ligue 1) (Palier 1, Position 1, Difficulté 1)
 86. TOP 10 des joueurs avec le plus de minutes de PSG entre 2024 (Palier 18, Position 1, Difficulté 1)
 87. TOP 10 des transferts les plus coûteux en 2024 (Premier League) (Palier 18, Position 2, Difficulté 1)
 88. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Liga entre 2023 (Palier 18, Position 3, Difficulté 1)
 89. TOP 10 des passeurs de Bundesliga entre 2023 (Palier 18, Position 4, Difficulté 1)
 90. TOP 10 des joueurs france les plus prolifiques (buts+passes) entre 2020-2024 (Palier 18, Position 5, Difficulté 1)
 91. TOP 10 des buteurs de Premier League en 2024 (Palier 19, Position 1, Difficulté 1)
 92. TOP 10 des transferts les plus coûteux sortants entre 2020-2024 (Ligue 1) (Palier 19, Position 2, Difficulté 1)
 93. TOP 10 des passeurs de Man Utd entre 2020-2024 (Palier 19, Position 3, Difficulté 1)
 94. TOP 10 des passeurs de PSG entre 2020-2024 (Palier 19, Position 4, Difficulté 1)
 95. TOP 10 des buteurs de la Euro 2024 (Palier 19, Position 5, Difficulté 1)
 96. TOP 10 des buteurs portugal dans les grands clubs européens entre 2015-2020 (Palier 20, Position 1, Difficulté 1)
 97. TOP 10 des buteurs de la Coupe du Monde 2022 (Palier 20, Position 2, Difficulté 1)
 98. TOP 10 du Ballon d'Or 2021 (Palier 20, Position 3, Difficulté 1)
 99. TOP 10 des transferts les plus coûteux sortants entre 2010-2015 (Serie A) (Palier 20, Position 4, Difficulté 1)
100. TOP 10 des buteurs de Premier League en 2022 (Palier 20, Position 5, Difficulté 1)
101. TOP 10 des transferts les plus coûteux entrants entre 2020-2024 (Ligue 1) (Palier 21, Position 1, Difficulté 1)
102. TOP 10 des transferts les plus coûteux sortants entre 2015-2020 (Premier League) (Palier 21, Position 2, Difficulté 1)
103. TOP 10 des transferts les plus coûteux en 2024 (Bundesliga) (Palier 21, Position 3, Difficulté 1)
104. TOP 10 des passeurs de Man City entre 2020-2024 (Palier 21, Position 4, Difficulté 1)
105. TOP 10 des passeurs de Liga entre 2022 (Palier 21, Position 5, Difficulté 1)
106. TOP 10 des transferts les plus coûteux entrants entre 2020-2024 (Bundesliga) (Palier 22, Position 1, Difficulté 1)
107. TOP 10 des transferts les plus coûteux sortants entre 2010-2015 (Premier League) (Palier 22, Position 2, Difficulté 1)
108. TOP 10 des transferts les plus coûteux entrants entre 2010-2015 (Serie A) (Palier 22, Position 3, Difficulté 1)
109. TOP 10 des joueurs avec le plus de minutes de Real Madrid entre 2024 (Palier 22, Position 4, Difficulté 1)
110. TOP 10 du Ballon d'Or 2024 (Palier 22, Position 5, Difficulté 1)
111. TOP 10 des transferts les plus coûteux en 2023 (Serie A) (Palier 23, Position 1, Difficulté 1)
112. TOP 10 des buteurs de Serie A en 2024 (Palier 23, Position 2, Difficulté 1)
113. TOP 10 des buteurs de Man City entre 2020-2024 (Palier 23, Position 3, Difficulté 1)
114. TOP 10 des buteurs de Serie A en 2023 (Palier 23, Position 4, Difficulté 1)
115. TOP 10 des buteurs de Ligue 1 en 2023 (Palier 23, Position 5, Difficulté 1)
116. TOP 10 des passeurs de Liga entre 2020-2024 (Palier 24, Position 1, Difficulté 1)
117. TOP 10 des buteurs de Arsenal entre 2020-2024 (Palier 24, Position 2, Difficulté 1)
118. TOP 10 des joueurs avec le plus de minutes de Liverpool entre 2024 (Palier 24, Position 3, Difficulté 1)
119. TOP 10 des joueurs avec le plus de minutes de Bayern Munich entre 2024 (Palier 24, Position 4, Difficulté 1)
120. TOP 10 des joueurs avec le plus de minutes de Man City entre 2024 (Palier 24, Position 5, Difficulté 1)
121. TOP 10 des transferts les plus coûteux en 2023 (Liga) (Palier 25, Position 1, Difficulté 1)
122. TOP 10 des buteurs de Bayern Munich entre 2020-2024 (Palier 25, Position 2, Difficulté 1)
123. TOP 10 des buteurs france dans les grands clubs européens entre 2020-2024 (Palier 25, Position 3, Difficulté 1)
124. TOP 10 des buteurs de PSG entre 2020-2024 (Palier 25, Position 4, Difficulté 1)
125. TOP 10 des buteurs de la CAN 2023 (Palier 25, Position 5, Difficulté 1)
126. TOP 10 des transferts les plus coûteux sortants entre 2010-2015 (Liga) (Palier 26, Position 1, Difficulté 1)
127. TOP 10 des transferts les plus coûteux sortants entre 2020-2024 (Liga) (Palier 26, Position 2, Difficulté 1)
128. TOP 10 des transferts les plus coûteux entrants entre 2010-2015 (Premier League) (Palier 26, Position 3, Difficulté 1)
129. TOP 10 des passeurs de Premier League entre 2024 (Palier 26, Position 4, Difficulté 1)
130. TOP 10 des passeurs de Premier League entre 2023 (Palier 26, Position 5, Difficulté 1)
131. TOP 10 des transferts les plus coûteux entrants entre 2020-2024 (Serie A) (Palier 27, Position 1, Difficulté 1)
132. TOP 10 des transferts les plus coûteux entrants entre 2015-2020 (Premier League) (Palier 27, Position 2, Difficulté 1)
133. TOP 10 des transferts les plus coûteux en 2022 (Liga) (Palier 27, Position 3, Difficulté 1)
134. TOP 10 des buteurs de Liga en 2024 (Palier 27, Position 4, Difficulté 1)
135. TOP 10 des passeurs de Bundesliga entre 2024 (Palier 27, Position 5, Difficulté 1)
136. TOP 10 des buteurs de la Euro 2021 (Palier 28, Position 1, Difficulté 1)
137. TOP 10 des buteurs de Barcelona entre 2020-2024 (Palier 28, Position 2, Difficulté 1)
138. TOP 10 des joueurs portugal les plus prolifiques (buts+passes) entre 2020-2024 (Palier 28, Position 3, Difficulté 1)
139. TOP 10 des transferts les plus coûteux sortants entre 2015-2020 (Liga) (Palier 28, Position 4, Difficulté 1)
140. TOP 10 des buteurs de Atalanta entre 2020-2024 (Palier 28, Position 5, Difficulté 2)
141. TOP 10 des passeurs de Real Madrid entre 2015-2020 (Palier 29, Position 1, Difficulté 2)
142. TOP 10 des passeurs de Barcelona entre 2015-2020 (Palier 29, Position 2, Difficulté 2)
143. TOP 10 des buteurs de Leverkusen entre 2020-2024 (Palier 29, Position 3, Difficulté 2)
144. TOP 10 des buteurs de Serie A entre 2020-2024 (Palier 29, Position 4, Difficulté 2)
145. TOP 10 des passeurs de Lazio entre 2020-2024 (Palier 29, Position 5, Difficulté 2)
146. TOP 10 des buteurs de Juventus entre 2020-2024 (Palier 30, Position 1, Difficulté 2)
147. TOP 10 des buteurs de Napoli entre 2020-2024 (Palier 30, Position 2, Difficulté 2)
148. TOP 10 des joueurs avec le plus de minutes de Leverkusen entre 2023 (Palier 30, Position 3, Difficulté 2)
149. TOP 10 des passeurs de Liga entre 2019 (Palier 30, Position 4, Difficulté 2)
150. TOP 10 des joueurs avec le plus de minutes de Leverkusen entre 2024 (Palier 30, Position 5, Difficulté 2)
151. TOP 10 des buteurs de Ligue 1 en 2022 (Palier 31, Position 1, Difficulté 2)
152. TOP 10 des passeurs de Bundesliga entre 2020-2024 (Palier 31, Position 2, Difficulté 2)
153. TOP 10 des passeurs de Ligue 1 entre 2020-2024 (Palier 31, Position 3, Difficulté 2)
154. TOP 10 des buteurs de Roma entre 2020-2024 (Palier 31, Position 4, Difficulté 2)
155. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Bundesliga entre 2024 (Palier 31, Position 5, Difficulté 2)
156. TOP 10 des buteurs de Atletico Madrid entre 2020-2024 (Palier 32, Position 1, Difficulté 2)
157. TOP 10 des joueurs avec le plus de minutes de Leipzig entre 2024 (Palier 32, Position 2, Difficulté 2)
158. TOP 10 des joueurs avec le plus de minutes de Lazio entre 2024 (Palier 32, Position 3, Difficulté 2)
159. TOP 10 des buteurs de Bayern Munich entre 2015-2020 (Palier 32, Position 4, Difficulté 2)
160. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Ligue 1 entre 2023 (Palier 32, Position 5, Difficulté 2)
161. TOP 10 des buteurs de Lazio entre 2020-2024 (Palier 33, Position 1, Difficulté 2)
162. TOP 10 des joueurs avec le plus de minutes de Aston Villa entre 2024 (Palier 33, Position 2, Difficulté 2)
163. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Serie A entre 2024 (Palier 33, Position 3, Difficulté 2)
164. TOP 10 des joueurs avec le plus de minutes de Atletico Madrid entre 2024 (Palier 33, Position 4, Difficulté 2)
165. TOP 10 des joueurs avec le plus de minutes de Juventus entre 2023 (Palier 33, Position 5, Difficulté 2)
166. TOP 10 des buteurs de Dortmund entre 2020-2024 (Palier 34, Position 1, Difficulté 2)
167. TOP 10 des passeurs de PSG entre 2015-2020 (Palier 34, Position 2, Difficulté 2)
168. TOP 10 des passeurs de Villarreal entre 2020-2024 (Palier 34, Position 3, Difficulté 2)
169. TOP 10 des buteurs de la CAN 2021 (Palier 34, Position 4, Difficulté 2)
170. TOP 10 des buteurs de Milan entre 2020-2024 (Palier 34, Position 5, Difficulté 2)
171. TOP 10 des passeurs de Ligue 1 entre 2022 (Palier 35, Position 1, Difficulté 2)
172. TOP 10 des passeurs de Aston Villa entre 2020-2024 (Palier 35, Position 2, Difficulté 2)
173. TOP 10 des buteurs de PSG entre 2015-2020 (Palier 35, Position 3, Difficulté 2)
174. TOP 10 des buteurs de Man Utd entre 2015-2020 (Palier 35, Position 4, Difficulté 2)
175. TOP 10 des buteurs de Liga en 2019 (Palier 35, Position 5, Difficulté 2)
176. TOP 10 des buteurs de Inter Milan entre 2015-2020 (Palier 36, Position 1, Difficulté 2)
177. TOP 10 des passeurs de Man City entre 2015-2020 (Palier 36, Position 2, Difficulté 2)
178. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Liga entre 2015-2020 (Palier 36, Position 3, Difficulté 2)
179. TOP 10 des buteurs de Aston Villa entre 2020-2024 (Palier 36, Position 4, Difficulté 2)
180. TOP 10 des buteurs de Barcelona entre 2015-2020 (Palier 36, Position 5, Difficulté 2)
181. TOP 10 des buteurs de Ligue 1 entre 2020-2024 (Palier 37, Position 1, Difficulté 2)
182. TOP 10 des joueurs avec le plus de minutes de Juventus entre 2024 (Palier 37, Position 2, Difficulté 2)
183. TOP 10 des joueurs avec le plus de minutes de Roma entre 2023 (Palier 37, Position 3, Difficulté 2)
184. TOP 10 des buteurs de Premier League en 2019 (Palier 37, Position 4, Difficulté 2)
185. TOP 10 des buteurs de la Copa América 2021 (Palier 37, Position 5, Difficulté 2)
186. TOP 10 des passeurs de Premier League entre 2019 (Palier 38, Position 1, Difficulté 2)
187. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Premier League entre 2015-2020 (Palier 38, Position 2, Difficulté 2)
188. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Liga entre 2020-2024 (Palier 38, Position 3, Difficulté 2)
189. TOP 10 des passeurs de Milan entre 2020-2024 (Palier 38, Position 4, Difficulté 2)
190. TOP 10 des joueurs avec le plus de minutes de Leipzig entre 2023 (Palier 38, Position 5, Difficulté 2)
191. TOP 10 des passeurs de Liverpool entre 2015-2020 (Palier 39, Position 1, Difficulté 2)
192. TOP 10 des passeurs de Premier League entre 2018 (Palier 39, Position 2, Difficulté 2)
193. TOP 10 des passeurs de Man Utd entre 2015-2020 (Palier 39, Position 3, Difficulté 2)
194. TOP 10 des buteurs de la Coupe du Monde 2014 (Palier 39, Position 4, Difficulté 2)
195. TOP 10 des joueurs avec le plus de minutes de Milan entre 2023 (Palier 39, Position 5, Difficulté 2)
196. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Ligue 1 entre 2024 (Palier 40, Position 1, Difficulté 2)
197. TOP 10 des passeurs de Bayern Munich entre 2015-2020 (Palier 40, Position 2, Difficulté 2)
198. TOP 10 des buteurs de Chelsea entre 2015-2020 (Palier 40, Position 3, Difficulté 2)
199. TOP 10 des passeurs de Leipzig entre 2020-2024 (Palier 40, Position 4, Difficulté 2)
200. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Premier League entre 2020-2024 (Palier 40, Position 5, Difficulté 2)
201. TOP 10 des passeurs de Premier League entre 2015-2020 (Palier 41, Position 1, Difficulté 2)
202. TOP 10 des joueurs avec le plus de minutes de Atalanta entre 2023 (Palier 41, Position 2, Difficulté 2)
203. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Bundesliga entre 2023 (Palier 41, Position 3, Difficulté 2)
204. TOP 10 des passeurs de Atletico Madrid entre 2020-2024 (Palier 41, Position 4, Difficulté 2)
205. TOP 10 des buteurs de Arsenal entre 2015-2020 (Palier 41, Position 5, Difficulté 2)
206. TOP 10 des joueurs avec le plus de minutes de Napoli entre 2023 (Palier 42, Position 1, Difficulté 2)
207. TOP 10 des buteurs de Premier League en 2018 (Palier 42, Position 2, Difficulté 2)
208. TOP 10 des joueurs avec le plus de minutes de Atalanta entre 2024 (Palier 42, Position 3, Difficulté 2)
209. TOP 10 des joueurs avec le plus de minutes de Napoli entre 2024 (Palier 42, Position 4, Difficulté 2)
210. TOP 10 des passeurs de Napoli entre 2020-2024 (Palier 42, Position 5, Difficulté 2)
211. TOP 10 des joueurs avec le plus de minutes de Dortmund entre 2024 (Palier 43, Position 1, Difficulté 2)
212. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Serie A entre 2023 (Palier 43, Position 2, Difficulté 2)
213. TOP 10 des joueurs avec le plus de minutes de Villarreal entre 2024 (Palier 43, Position 3, Difficulté 2)
214. TOP 10 des passeurs de Roma entre 2020-2024 (Palier 43, Position 4, Difficulté 2)
215. TOP 10 des passeurs de Arsenal entre 2015-2020 (Palier 43, Position 5, Difficulté 2)
216. TOP 10 des buteurs de Serie A en 2022 (Palier 44, Position 1, Difficulté 2)
217. TOP 10 des joueurs avec le plus de minutes de Villarreal entre 2023 (Palier 44, Position 2, Difficulté 2)
218. TOP 10 des buteurs de Real Madrid entre 2015-2020 (Palier 44, Position 3, Difficulté 2)
219. TOP 10 des buteurs de Liga en 2018 (Palier 44, Position 4, Difficulté 2)
220. TOP 10 des buteurs de Liverpool entre 2015-2020 (Palier 44, Position 5, Difficulté 2)
221. TOP 10 des milieux de terrain avec le plus de passes décisives de Liga entre 2020-2024 (Palier 45, Position 1, Difficulté 2)
222. TOP 10 des passeurs de Liga entre 2015-2020 (Palier 45, Position 2, Difficulté 2)
223. TOP 10 des joueurs avec le plus de minutes de Aston Villa entre 2023 (Palier 45, Position 3, Difficulté 2)
224. TOP 10 des joueurs avec le plus de minutes de Roma entre 2024 (Palier 45, Position 4, Difficulté 2)
225. TOP 10 des joueurs avec le plus de minutes de Dortmund entre 2023 (Palier 45, Position 5, Difficulté 2)
226. TOP 10 des buteurs de Leipzig entre 2020-2024 (Palier 46, Position 1, Difficulté 2)
227. TOP 10 des passeurs de Serie A entre 2022 (Palier 46, Position 2, Difficulté 2)
228. TOP 10 des passeurs de Liga entre 2018 (Palier 46, Position 3, Difficulté 2)
229. TOP 10 des buteurs de Premier League entre 2015-2020 (Palier 46, Position 4, Difficulté 2)
230. TOP 10 des buteurs de Bundesliga en 2022 (Palier 46, Position 5, Difficulté 2)
231. TOP 10 des passeurs de Inter Milan entre 2015-2020 (Palier 47, Position 1, Difficulté 2)
232. TOP 10 des buteurs de Man City entre 2015-2020 (Palier 47, Position 2, Difficulté 2)
233. TOP 10 des joueurs avec le plus de minutes de Atletico Madrid entre 2023 (Palier 47, Position 3, Difficulté 2)
234. TOP 10 des passeurs de Atalanta entre 2020-2024 (Palier 47, Position 4, Difficulté 2)
235. TOP 10 des buteurs de Villarreal entre 2020-2024 (Palier 47, Position 5, Difficulté 2)
236. TOP 10 des buteurs de Liga entre 2015-2020 (Palier 48, Position 1, Difficulté 2)
237. TOP 10 des joueurs avec le plus de minutes de Milan entre 2024 (Palier 48, Position 2, Difficulté 2)
238. TOP 10 des passeurs de Dortmund entre 2020-2024 (Palier 48, Position 3, Difficulté 2)
239. TOP 10 des buteurs de Bundesliga entre 2020-2024 (Palier 48, Position 4, Difficulté 2)
240. TOP 10 des passeurs de Leverkusen entre 2020-2024 (Palier 48, Position 5, Difficulté 2)
241. TOP 10 des passeurs de Serie A entre 2020-2024 (Palier 49, Position 1, Difficulté 2)
242. TOP 10 des passeurs de Bundesliga entre 2022 (Palier 49, Position 2, Difficulté 2)
243. TOP 10 des buteurs de la Euro 2016 (Palier 49, Position 3, Difficulté 2)
244. TOP 10 des milieux de terrain avec le plus de passes décisives de Premier League entre 2020-2024 (Palier 49, Position 4, Difficulté 2)
245. TOP 10 des passeurs de Chelsea entre 2015-2020 (Palier 49, Position 5, Difficulté 2)
246. TOP 10 des passeurs de Juventus entre 2020-2024 (Palier 50, Position 1, Difficulté 2)
247. TOP 10 des joueurs avec le plus de minutes de Lazio entre 2023 (Palier 50, Position 2, Difficulté 2)
248. TOP 10 des passeurs de Inter Milan entre 2005-2010 (Palier 50, Position 3, Difficulté 3)
249. TOP 10 des joueurs avec le plus de minutes de Barcelona entre 2015-2020 (Palier 50, Position 4, Difficulté 3)
250. TOP 10 des joueurs avec le plus de minutes de Man City entre 2015-2020 (Palier 50, Position 5, Difficulté 3)
251. TOP 10 des buteurs de Atalanta entre 2015-2020 (Palier 51, Position 1, Difficulté 3)
252. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Serie A entre 2020-2024 (Palier 51, Position 2, Difficulté 3)
253. TOP 10 des passeurs de PSG entre 2010-2015 (Palier 51, Position 3, Difficulté 3)
254. TOP 10 des buteurs de Chelsea entre 2005-2010 (Palier 51, Position 4, Difficulté 3)
255. TOP 10 des joueurs avec le plus de minutes de Man Utd entre 2020-2024 (Palier 51, Position 5, Difficulté 3)
256. TOP 10 des joueurs avec le plus de minutes de Man Utd entre 2015-2020 (Palier 52, Position 1, Difficulté 3)
257. TOP 10 des buteurs de Ligue 1 en 2018 (Palier 52, Position 2, Difficulté 3)
258. TOP 10 des buteurs de la Copa América 2019 (Palier 52, Position 3, Difficulté 3)
259. TOP 10 des passeurs de Atalanta entre 2015-2020 (Palier 52, Position 4, Difficulté 3)
260. TOP 10 des passeurs de Roma entre 2015-2020 (Palier 52, Position 5, Difficulté 3)
261. TOP 10 des buteurs de Roma entre 2015-2020 (Palier 53, Position 1, Difficulté 3)
262. TOP 10 des passeurs de Premier League entre 2010-2015 (Palier 53, Position 2, Difficulté 3)
263. TOP 10 des joueurs avec le meilleur ratio buts/minutes de Serie A entre 2015-2020 (Palier 53, Position 3, Difficulté 3)
264. TOP 10 des buteurs de Inter Milan entre 2010-2015 (Palier 53, Position 4, Difficulté 3)
265. TOP 10 des buteurs de Bundesliga entre 2015-2020 (Palier 53, Position 5, Difficulté 3)
266. TOP 10 des buteurs de Premier League entre 2005-2010 (Palier 54, Position 1, Difficulté 3)
267. TOP 10 des passeurs de Real Madrid entre 2010-2015 (Palier 54, Position 2, Difficulté 3)
